uuid,Name,Product Code,Density,Density Range,Measured Ref. Index - AVG,RI Range,Product Line,Aroma Color,Notes Color (Secondary),Intensity 1-10,Cannabis Forward,Fruity Forward,Dessert Forward,Odor Type,Odor Description,Tags,Family Type,Main Terpenes,Density g/cc,Density_avg,Refractive_Index_avg
ec3ea060-5427-4bcc-9ca1-76f79862999c,Tripy Tropy,10-26-9999,"0.8552, 0.8612, 0.8674, 0.8674, 0.8616, 0.8458, 0.8480, 0.8452, 0.8470",0.821 - 0.890,"1.4658, 1.4657, 1.4653, 1.4653, 1.4667, 1.4668, 1.4659, 1.4670, 1.4657",1.437 - 1.495,Enhancer Line,#ff9736,#f7ee00,8,,5,2,Tropical fruit,"A juicy burst of ripe mango, kiwi, apricot and pineapple wrapped in sweet grape and a hint of warm cinnamon, with some fresh laundry and rosmary undertones, evoking playful tropical fruit gum vibes

and syrupy, but never flat, bursting with that unmistakable tropical brightness only mango can bring. Wrapped around the mango is a swirl of ripe banana candy, soft, sweet, and slightly artificial, blended with playful watermelon bubblegum and a splash of cool watermelon water, giving the blend a lifted, fruity shine.
A base of sweet coconut cream holds it all together, milky, smooth, and just tropical enough, while a gentle minty breeze cuts through the richness, cooling the palate and crystallizing the sweetness into something clean and craveable. Mango leads. The rest follows. A trippy, creamy, candy-fruit explosion with tropical heat and icy clarity.","tropical, Fresh, ripe",Fruity,Myrcene,,0.855422222,1.466022222
7c0d56ae-85d8-4e7c-9773-084f658bff25,Tutti Frutti,10-521-9999,"0.8511, 0.8486, 0.8306, 0.853, 0.8316, 0.858, 0.8446, 0.8294, 0.844, 0.8328, 0.828, 0.8562, 0.8432, 0.8802",0.811 - 0.879,"1.4653, 1.4590, 1.4588, 1.4586, 1.4578, 1.4813, 1.4619, 1.4606, 1.4611, 1.4600, 1.4601, 1.4610, 1.4614, 1.4972",1.435 - 1.494,Enhancer Line,#d433a9,#ed3333,9.5,,4,3,Bubblegum Gum,Strong and sweet bubblegum 'bazuka' flavor,"bubblegum, sweet, Candy","Sweet, Candy","Limonene, citral, Myrcene",0.8508,0.845092857,1.464578571
a7e368cc-7b44-41f8-8345-26d13493ffa8,Vanilla Icing,10-554A-9999,"0.8902, 0.8502, 0.8918, 0.882, 0.865, 0.8702, 0.8602, 0.8814, 0.8142, 0.8972, 0.8966, 0.8860, 0.9056",0.841 - 0.911,"1.4836, 1.4828, 1.4837, 1.4842, 1.4828, 1.4840, 1.4822, 1.4848, 1.4839, 1.4838, 1.4833, 1.4849, 1.4849",1.454 - 1.513,Enhancer Line,#e0daa7,#f0e390,5,1,0,4,Vanilla Cream,"offers a delightful mix of sweet vanilla with a buttery, creamy aroma, creating a dessert-like sensation that enhances any terpene blend. This enriching blend of natural terpenes is designed to introduce deliciously sweet and creamy flavors and aromas","creamy, Vanilla, Banana, IceCream","creamy, Dessert","Beta Caryophyllene, Limonene",,0.8762,1.483761538
0b2380c5-5d59-42a1-923d-0af04438fc6c,Watermelon Sugar,10-567-9999,"0.8324, 0.8682, 0.8726, 0.8726, 0.8608, 0.8672",0.828 - 0.897,"1.4735, 1.4732, 1.4732, 1.4743, 1.4740, 1.4742",1.444 - 1.503,Enhancer Line,#00c717,#f10c0c,8,,4,1,Watermelon bubblegum,"melon popcicle, sweet cucumber and watermelon-like hubba bubba gum, a little herbel. lower notes of rose and parsley.","WatermelonNotes, Melon, watery",Fruity,"Myrcene, Beta Caryophyllene, Bisabolene",,0.8623,1.473733333
e8c68dee-87e3-4f98-bbad-ba536d707076,Truffle Kush,10-27-9999,"0.8310, 0.8250, 0.8286",0.795 - 0.861,"1.4862, 1.4866, 1.4864",1.457 - 1.516,Enhancer Line,#3f3a3a,#eeeeca,9.5,3,,1,Black Truffle,"A deep, grounded profile with a dark, intoxicating pull. It opens with rich, earthy kush, moist soil, forest floor, and dry wood, and a soft gassy sulfuric aftersmell. Almost immediately, the black truffle kicks in: funky, musky, and unmistakably gourmet. There’s a sharp, fermented edge to it, like aged umami, that pulls the nose in deeper.
On the palate, it lands thick and savory. The gas hits low and slow, dense, resinous, and mouth-coating - while the truffle brings a wild, animalic roundness, full of warmth and depth. As it opens up, you get herbal creaminess: soft, buttery, slightly spiced, almost like a white truffle béchamel or Alfredo. The finish is long and layered: earthy, creamy, and slightly peppery, with a subtle dry lift that keeps it from going flat. This isn’t your usual flavor profile, it’s a culinary terp trip. Complex, heavy, and elegant in its own dirty way.","creamy, Kush, Gas, savory, Truffle, Umami",Savory,"Myrcene, Beta Caryophyllene, Humulene",,0.8282,1.4864
2467b58d-2082-4a50-afb4-42da46b724f4,Afghan Kush - Live plus+ Line,14-533-9999,"0.8259, 0.8224, 0.818, 0.8192, 0.8176, 0.8128, 0.8248, 0.8204, 0.828, 0.8282, 0.8274, 0.8206, 0.8194, 0.821",0.789 - 0.855,"1.476, 1.4757, 1.475, 1.4744, 1.4753, 1.4749, 1.4758, 1.4744, 1.4754, 1.476, 1.4754, 1.4766, 1.4757, 1.4749",1.446 - 1.505,Live +,#7d0303,#ad0c0c,9,5,1,1,Red Cedar Wood,Earthy scents like tar and red cedar wood. Spice and herbal notes of ginger and cardamom,"Earthy, Cedar, Wood, Ginger, Spices, Cardamon",Earthy,"Myrcene, Beta Caryophyllene, Limonene",,0.821835714,1.475392857
d6e54232-9cae-44c8-87b9-1202590b109c,Amnesia Haze - Live+ Line,14-527-9999,"0.8691, 0.8414, 0.84866, 0.8396, 0.856, 0.8478, 0.8598, 0.856, 0.852",0.818 - 0.886,"1.481, 1.4797, 1.4803, 1.48, 1.4814, 1.4806, 1.4802, 1.4814, 1.4806",1.451 - 1.51,Live +,#cbebbb,#1b7210,7,3,0,0,Herbal Citrus,"A bright, refreshing blend that pairs zesty citrus notes with earthy, aromatic herbs. Energizing, clean, and naturally uplifting.","citrus, Lemon, Haze, Herbal, Verbena, Fresh, tea",Herbal,"Limonene, Beta Caryophyllene, Myrcene",,0.852262222,1.480577778
a2c13b4f-de7d-4de8-9d39-de8357353938,Blue Dream +,14-522-9999,"0.8444, 0.8364, 0.8336, 0.8568, 0.8528, 0.8404, 0.852",0.811 - 0.879,"1.4763, 1.4769, 1.4764, 1.477, 1.4759, 1.477, 1.4763",1.447 - 1.506,Live +,#5c3984,#c792ef,7,4,2,,Floral Berry,"A soft, sweet fusion of blooming florals and ripe berries. Delicate, vibrant, and effortlessly inviting.","BerryNotes, Floral, Lavender, Blueberry, blackberry",Citrus,"Myrcene, Alpha Pinene, Limonene",,0.8452,1.476542857
2b402437-751e-440b-967d-37d69f6cc722,California Orange - Live+ Line,14/02/9999,"0.85862, 0.86898, 0.8348, 0.8432, 0.8522, 0.8496, 0.872, 0.8452",0.819 - 0.887,"1.4791, 1.4777, 1.4793, 1.4807, 1.4806, 1.481, 1.48, 1.4809",1.45 - 1.51,Live +,#ffc15c,#b2b59c,8,4,2,1,Waxy Orange,Cheesy and bitter strain with notes of citrus and diesel,"citrus, Herbal, Cheese, Spicy",Citrus,"Beta Caryophyllene, Limonene, Alpha Pinene",,0.853075,1.4799125
aabb8b9c-c56b-4fa9-83ba-03eb88b5eab2,Critical Jack - Live+ Line,14/03/9999,"0.89326, 0.8568, 0.8516, 0.86, 0.8622, 0.8588, 0.853",0.828 - 0.897,"1.4842, 1.4853, 1.4841, 1.4846, 1.4856, 1.4846, 1.4851",1.455 - 1.514,Live +,#629276,#94e98a,9,5,1,1,Fresh Diesel,Bright diesel strain with citrus notes and bright fresh-herbal top notes.,"Diesel, citrus, Spicy",Diesel,"Terpinolene, Beta Caryophyllene, Myrcene",,0.862237143,1.484785714
40af59b1-3d5f-41ed-a214-a911dc8aa23e,Devil Fruit - Live+ Line,14/05/9999,"0.83456, 0.835, 0.8542, 0.8472, 0.8368, 0.8432",0.808 - 0.875,"1.4785, 1.4786, 1.4798, 1.4789, 1.4787, 1.4794",1.449 - 1.509,Live +,#6b2626,#d09447,8,5,3,1,Tropical Hashish,begins with a very sweet and tropical aroma that changes to deep hashish aroma with camphoric notes,"tropical, sweet, Hashish",Earthy,"Myrcene, Limonene, Beta Caryophyllene",,0.841826667,1.478983333
4f72fd65-7d2e-4c8b-a4a0-ce3beae00871,Forbidden Fruit +,14-13-9999,0.8508,0.817 - 0.885,1.4803,1.451 - 1.51,Live +,#9d2727,#717a8e,6,4,2,0,Fruity Herbal,Herbal Aroma with diesel body and apple candy notes,"Diesel, Apple, Herbal, Candy, TartApple",Herbal,"Myrcene, Limonene, Terpinolene, Beta Caryophyllene",,0.8508,1.4803
dd3a85fa-a2f0-41d1-901f-c62422a0092d,GDP +,14-521-9999,"0.84806, 0.8322, 0.8436, 0.8536, 0.8534, 0.855",0.814 - 0.882,"1.4807, 1.4816, 1.4811, 1.4812, 1.4823, 1.4833",1.452 - 1.511,Live +,#548e8c,#69510d,6.5,3,1,,Sweet Musk,"A deep, earthy aroma with sweet, musky undertones and a hint of herbal warmth. Bold, grounded, and distinctly resinous.","Herbal, Fruity, Earthy, Musk",Floral,"Myrcene, Beta Caryophyllene, Alpha Pinene",,0.847643333,1.4817
ceb4de81-89af-4618-a6a0-92132d017e66,Gelato - Live+ Line,14-502-9999,"0.86514, 0.8614, 0.8622, 0.8654, 0.8694, 0.8698, 0.8714, 0.8712",0.832 - 0.902,"1.481, 1.482, 1.4826, 1.4823, 1.4815, 1.4817, 1.4823, 1.4818",1.452 - 1.512,Live +,#c17b40,#c99e5f,8,1,3,3,Dessert Sweet,Very dessert-forward with notes of ice cream dough and subtle notes of kush,"Floral, Dough, Fruity, Cake",creamy,"Beta Caryophyllene, Limonene, Humulene",,0.8669925,1.4819
6f50ad82-29ea-4ff4-b4db-4e72e74ac175,GG #4 +,14-519-9999,"0.86596, 0.8648, 0.8562, 0.846, 0.8652",0.825 - 0.894,"1.484, 1.4843, 1.4831, 1.4829, 1.4839",1.454 - 1.513,Live +,#3fa305,#0c4c04,8,4,,,Piney Diesel,"A pungent, earthy profile layered with sharp diesel notes and subtle pine. Powerful, sticky, and intensely aromatic.","Diesel, Glue, Earthy, Pungent",Fruity,"Myrcene, Beta Caryophyllene, Limonene",,0.859632,1.48364
8b66362b-31e7-4241-8b05-7fdd20f57181,Grape Ape +,14-523-9999,"0.85102, 0.8402, 0.8524, 0.8452, 0.846, 0.8442, 0.8406",0.812 - 0.879,"1.4809, 1.4809, 1.4819, 1.4802, 1.482, 1.4818, 1.4802",1.452 - 1.511,Live +,#7f10e3,#7a4607,8,1,4,,Earthy Grape,"A rich, fruity aroma dominated by sweet grape notes with hints of berry and earthy undertones. Smooth, bold, and unmistakably sweet.","sweet, Fruity, Earthy, Grape",Musky,"Myrcene, Beta Caryophyllene, Alpha Pinene",,0.84566,1.481128571
206790be-9558-4c05-9cf3-5bfbc11f5584,GSC +,14-520-9999,"0.8796, 0.86172, 0.8534",0.830 - 0.900,"1.4818, 1.4839, 1.4798",1.452 - 1.511,Live +,#377e05,#ecedcd,6.5,3,,,Herbal Vanilla,"A sweet, earthy blend with warm hints of vanilla, light spice, and subtle herbal notes. Smooth, balanced, and delightfully aromatic.","Vanilla, sweet, Herbal, Earthy, Spices",Floral,"Beta Caryophyllene, Limonene, Myrcene",,0.864906667,1.481833333
f620f29d-6382-4302-8fe2-1d5605aa493e,Lavender Jones - Live+ Line,14/08/9999,"0.85312, 0.8506, 0.857",0.819 - 0.888,"1.4843, 1.4835, 1.484",1.454 - 1.514,Live +,#d0bfda,#6f6161,8,4,1,1,Earthy Lavender,Very earthy with woody and lavender notes,"Earthy, Wood, Lavender",Earthy,"Humulene, Beta Caryophyllene, Myrcene",,0.853573333,1.483933333
176c16ef-837b-425d-a4bc-6a5dcb2d0d38,Lemon Cake - Live+ Line,14/04/9999,"0.8716, 0.85, 0.8592, 0.8658, 0.8644, 0.866, 0.8564, 0.859, 0.859",0.827 - 0.896,"1.4794, 1.4807, 1.4794, 1.4787, 1.4791, 1.4813, 1.4806, 1.4801, 1.4813",1.45 - 1.51,Live +,#5d9259,#d6ef48,8,5,1,1,Fresh Eucalyptus,Strong eucalyptus body with fresh cucumber-like notes and hints of lemon zest,"eucalyptus, pine, Cucumber",Fresh,"Limonene, Beta Caryophyllene, Beta-Ocimene",,0.861266667,1.480066667
1d1e8719-0a7f-4121-9316-a8056504c8ee,London Pound Cake - Live+ Line,14/10/9999,"0.87738, 0.86466, 0.8634, 0.8636, 0.87568, 0.855, 0.8614, 0.8604, 0.8646, 0.8656, 0.8648",0.831 - 0.900,"1.4828, 1.4824, 1.4826, 1.4836, 1.4829, 1.4821, 1.4828, 1.4836, 1.4845, 1.4831, 1.4838",1.453 - 1.513,Live +,#dcc9bc,#f9e1ff,9,3,1,0,Musky Oak,Sweet perfume-like profile with oak and whisky notes,"Perfume, Alcohol, Musk",Floral,"Beta Caryophyllene, Myrcene, Limonene",,0.865138182,1.483109091
b885bb43-0052-4e36-9ec7-43e574ad6561,OG Kush - Live+ Line,14-503-9999,"0.85414, 0.87088, 0.8458, 0.8398, 0.8446",0.817 - 0.885,"1.4781, 1.476, 1.4776, 1.4794, 1.4778",1.448 - 1.507,Live +,#695e5e,#836c54,10,5,1,1,Forest Musk,"Strong forest-like aromas of lemon-pine, earth, and musk with hints of wood and skunk","eucalyptus, pine, Lemon, Musk",Earthy,"Beta Caryophyllene, Limonene, linalool",,0.851044,1.47778
49285a54-8bf7-4350-b7a7-2200cac8d1e8,Orange Turbo - Live+ Line,14/06/9999,"0.8474, 0.845",0.812 - 0.880,"1.477, 1.4775",1.448 - 1.507,Live +,#e78324,#ad8484,7,5,3,1,Spicy Orange,Strong cannabis aroma. Orange body with notes of spices and cookies.,"Spicy, Zest, Orange, Ginger",Citrus,"Beta Caryophyllene, Limonene, Terpinolene",,0.8462,1.47725
8eebe71c-4b0b-4400-b91a-dd4ce33fec92,Pine Mint - Live+ Line,14/07/9999,"0.88192, 0.8444, 0.8562, 0.853",0.825 - 0.893,"1.4836, 1.4828, 1.4825, 1.4837",1.453 - 1.513,Live +,#42f3ef,#96eb9d,8,4,1,1,Eucalyptus-Mint,a unique combination of sweet mint and eucalyptus with sweet undertones,"eucalyptus, Mint, Cold",Camphorous,"Beta Caryophyllene, Myrcene, Limonene",,0.85888,1.48315
0b3fcdb7-c5f9-40cf-9f6a-a6cde63a3f2a,Pineapple Express +,14-528-9999,"0.8766, 0.8518, 0.8662, 0.8556",0.828 - 0.897,"1.4738, 1.4755, 1.4749, 1.4748",1.445 - 1.504,Live +,#f5d650,#553131,5.5,2,5,,Sweet Pineapple,"A bright, tropical aroma bursting with juicy pineapple and citrus notes, layered with subtle earthy undertones. Sweet, energizing, and refreshingly vibrant.","citrus, tropical, Earthy, Pineapple",Earthy,"Beta Caryophyllene, Limonene, Myrcene",,0.86255,1.47475
156bdd8d-c71d-4942-8da7-312b57526043,Purple Crack - Live+ Line,14/09/9999,"0.834, 0.8324, 0.8428, 0.8442, 0.8452",0.806 - 0.873,"1.4804, 1.4789, 1.4798, 1.4809, 1.48",1.45 - 1.51,Live +,#986cc0,#78759b,8,4,3,0,Gassy Grape,Strong grape body with skunky and gassy notes,"Diesel, Skunk, Grape",Fruity,"Alpha Pinene, Myrcene, Beta Caryophyllene",,0.83972,1.48
51b24dfe-1d27-4629-98ad-362ccba01b43,Sour Diesel +,14-532-9999,"0.8466, 0.8362, 0.8474, 0.8444, 0.8474",0.811 - 0.878,"1.4812, 1.4815, 1.4817, 1.4809, 1.4815",1.452 - 1.511,Live +,#d1e965,#053414,8,4,2,,Pungent Citrus,"A sharp, pungent aroma with zesty citrus and fuel-like undertones. Bold, energizing, and unmistakably vibrant.","Sprite, Diesel, citrus, Sour",Diesel,"Myrcene, Terpinolene, Beta Caryophyllene",,0.8444,1.48136
0da65779-2792-4508-acc8-068dcd2d04a1,Super Bubba Kush - Live+ Line,14/01/9999,"0.88984, 0.887688, 0.85524, 0.8582, 0.8708, 0.8718, 0.871, 0.8652, 0.8658, 0.8656, 0.8758",0.836 - 0.905,"1.4836, 1.4834, 1.4832, 1.4837, 1.4847, 1.4852, 1.4838, 1.4835, 1.4841, 1.4847, 1.4836",1.454 - 1.514,Live +,#f9dbdb,#8c7f73,9,4,1,1,Floral Skunk,Super floral with a skunky background and moldy notes,"Floral, Skunk, Mold",Floral,"Beta Caryophyllene, Myrcene, Limonene",,0.870633455,1.483954545
aecd6163-dad7-4d4e-886a-b76b198fd0a8,Super Lemon Haze +,14-525-9999,"0.8536, 0.87608, 0.8442, 0.8456, 0.84404, 0.846, 0.8538, 0.8478, 0.8532, 0.8466",0.817 - 0.885,"1.4837, 1.4828, 1.4836, 1.483, 1.4836, 1.4839, 1.484, 1.4836, 1.4841, 1.4844",1.454 - 1.513,Live +,#d6d552,#437e04,7.5,4,1,,Zesty Lemon,"A bright, zesty aroma bursting with fresh lemon and citrus notes, balanced by subtle sweet and earthy undertones. Energizing, uplifting, and vibrant.","citrus, Lemon, Haze, Glue, sharp",Haze,"Terpinolene, Beta-Ocimene, Myrcene",,0.851092,1.48367
dc7833da-ca84-4144-ba8b-1f826620678f,Tangie +,14-524-9999,"0.86286, 0.842, 0.8338",0.812 - 0.880,"1.4796, 1.4805, 1.4806",1.451 - 1.51,Live +,#e69028,#e7dd91,7,3,1,,Tangy Citrus,"A bright, sweet citrus aroma dominated by tangerine and orange notes, with subtle earthy undertones. Refreshing, uplifting, and vibrant.","citrus, Tangerine, Orange, sharp, tangie",Citrus,"Limonene, Beta Caryophyllene, Myrcene",,0.84622,1.480233333
408ac886-bd67-4a2c-a2a5-5c638f1435ac,ZKZ - Live+ Line,14-501-9999,"0.8699, 0.86334, 0.8562, 0.8594, 0.8576",0.827 - 0.896,"1.4831, 1.4821, 1.4826, 1.4817, 1.4835",1.453 - 1.512,Live +,#266708,#92d273,9,2,4,4,Sweet Candy,Very fruity forward with sweet candy notes with a slight kushy aroma,"Gas, Fruity, Earthy, Candy",Fruity,"Beta Caryophyllene, Myrcene, Limonene",,0.861288,1.4826
41ba4134-6a67-40aa-8778-b9c98d996916,Kush Mint  - Live+ Line,14-531-9999,0.8526,0.818 - 0.887,1.4768,1.447 - 1.506,Live +,,,8,2,3,,Minty Gas,"sharp mint top, diesel core, cold exhale","Kush, Mint, Cold",,,,0.8526,1.4768
e6a2620d-9cc6-4c06-a1b3-56ff3e9b7d00,RS11+ - Live Plus +,9-180-9999,"0.847, 0.8642",0.821 - 0.890,"1.4819, 1.4814",1.452 - 1.511,Live +,,,7,3,3,1,Tropical Fuel,"A pungent, high-octane blend where sharp citrus zest and syrupy guava collide with a heavy petrol funk.","tropical, Gas, Fruity",,,,0.8556,1.48165
f929ff0f-b4b2-4020-9d74-a96b4c5acb82,Lemonhead +,15/05/9999,"0.86936, 0.873, 0.862, 0.862, 0.8536, 0.854",0.828 - 0.897,"1.4804, 1.4795, 1.4777, 1.4791, 1.4786, 1.4785",1.449 - 1.509,Palate +,#e9e873,#bbdb32,6,4,4,,Sour & Mint,"Dry, zesty lemon dominates, sharp and citrusy without being juicy or sweet.
A layer of pine and fresh herbs sits just beneath, adding brightness and dimension to the core citrus.
Altogether, the nose is focused, clean, and energetic — with a linear freshness that cuts through.
A burst of citrus freshness - tangy, zesty, with an intense explosion of sourness followed by a cool mint","Lemonade, citrus, Lemon, Herbal, Bright, sharp",Citrus,"Limonene, citral, Beta Caryophyllene",,0.862326667,1.478966667
964bc8cd-c640-491e-a447-b41b21635523,Melonade +,15/01/9999,"0.85402, 0.848, 0.8526",0.817 - 0.886,"1.4759, 1.4749, 1.4774",1.447 - 1.506,Palate +,#e3c57e,#d7ed71,6,4,3,,Tropical Citrus,"A high-toned citrus bouquet with fresh lemon peel and lime zest dominates the top layer.
Beneath that, there's juicy cantaloupe and honeydew - softening the sharp citrus with round, tropical warmth.
Finishes with a clean herbal whisper, adding lift and a refreshing aftertone that lingers.
Tropical smells like the clean air of the ocean, combined with citrus and fruity smells like lemon and melon","Lime, citrus, tropical, Herbal, cantaloupe, Honeydew",Fruity,"Beta Caryophyllene, Myrcene, Limonene",,0.85154,1.476066667
46cd8152-0c04-4750-a209-ee76028c0a18,Peach Crescendo +,15/03/9999,"0.86198, 0.8498, 0.849, 0.8772",0.825 - 0.894,"1.4784, 1.4783, 1.4788, 1.4876",1.451 - 1.51,Palate +,#ddb990,#476109,6.5,4,4,3,Fruity Gassy,"Ripe peach and white grape give this a lush, sweet open ,soft and floral, like fresh fruit skin. Just beneath that softness is a volatile edge: diesel bite, rawness, and a whisper of funk. It finishes with a waxy, almost resinous tone that gives it longevity and keeps it from feeling too light.

Pleasant notes of lemon and peach with a slight gassy aroma","Diesel, Floral, Peach, Lemon, Gas, Fruity, Fresh",Diesel,"Myrcene, Beta Caryophyllene, Terpinolene",,0.859495,1.480775
6dfa78f0-d8d7-4d65-997b-dcb2c0985538,Sour Apple Gelato +,15/02/9999,"0.86714, 0.8622, 0.87, 0.8664, 0.8584, 0.8614",0.830 - 0.899,"1.478, 1.4786, 1.4765, 1.4769, 1.4778, 1.477",1.448 - 1.507,Palate +,#ace13f,#e5db8d,6,4,3,3,Sour Apple & Cream,"Bright green apple jumps out immediately, crisp, tart, and slightly acidic on the nose.
Underneath, a creamy citrus–vanilla quality unfolds, evoking sour candy blended into soft dessert. The contrast is well-defined, giving the aroma both sharpness and silky depth without one overpowering the other.
A perfect blend of sweet and sour notes with strong tones of oven-baked apple gelato","citrus, creamy, Vanilla, Apple, Sour, Candy, TartApple, Dessert",Sour,"Beta Caryophyllene, Humulene, linalool",,0.864256667,1.477466667
be18328b-fb8a-45ca-8c70-ce30025ea292,Glitter Bomb +,15/06/9999,0.8792,0.844 - 0.914,1.4934,1.464 - 1.523,Palate +,#5d26d9,#eda7a7,7.5,4,3,,Fruity-Funky,"Opens with loud, juicy grape and dark berries, thick, sweet, and slightly overripe in character.
Quickly develops into something funkier: a dense herbal base with diesel hints and GMO spice.
The aromatic experience is layered and expressive, walking the line between playful and grounded.","BerryNotes, Diesel, raspberry, Gas, Herbal, Garlic, Blueberry, Grape, Grapes, GMO",Fruity,"Myrcene, Beta Caryophyllene, Humulene",,0.8792,1.4934
c8abe053-beef-4835-adee-22a040d963fc,Glurilla +,15/07/9999,0.8762,0.841 - 0.911,1.4917,1.462 - 1.522,Palate +,#380707,#0f0e0e,7,4,,1,Eatery Diesel,"A thick, dominant diesel aroma hits first - sharp and almost metallic, with gritty fuel undertones.
As it settles, earthy pine and damp soil notes come through, giving it a natural, forest-floor weight.
There's a subtle trace of bitter cocoa in the background, which adds depth and complexity to the finish.","Diesel, pine, Glue, Mud, Cocoa, Metallic, ForestFloor",Earthy,"Myrcene, Beta Caryophyllene, Terpinolene",,0.8762,1.4917
a573ffb3-4cfc-45e7-9e16-805117dc4752,Sherblato +,15/10/9999,0.8658,0.831 - 0.900,1.4893,1.46 - 1.519,Palate +,#f5d9d9,#232121,7.5,4,1,3,Creamy Kush,"Sweet sherbet and lemon icing notes open the nose, light, creamy, and confectionary in character.
Then comes the base: kushy earth, warm herbs, and a faint floral spice that grounds the sweetness.
The full aroma is dynamic and full-bodied - moving from bright and sugary to soft and weighty.","Dough, creamy, Vanilla, Kush, Lemon, Gas, Earthy, IceCream, Sherbert",Kush,"Beta Caryophyllene, Myrcene, Limonene",,0.8658,1.4893
fae961ae-5fa9-44ef-9479-c0cfa45222fb,Permanent RNTZ +,15/08/9999,0.8708,0.836 - 0.906,1.4898,1.46 - 1.52,Palate +,#5bedea,#f1cccc,7,4,1,1,Candy Chem,"Sweet and fruity at first sniff  reminiscent of tropical candy or sour Skittles. Just beneath the sweetness is a dry, solvent-like gas note that sharpens the edges and adds structure. The two layers coexist in tension, creating a bright-yet-punchy aromatic identity that evolves with time.","Sour, Gas, sweet, Fruity, Bright, sharp, Chem",Chemical,"Beta Caryophyllene, Myrcene, Limonene",,0.8708,1.4898
ceb32697-708d-478e-9831-cc74030e5e2d,Static +,15/11/9999,"0.8842, 0.8788",0.846 - 0.917,"1.4913, 1.4913",1.461 - 1.521,Palate +,#3e8008,#78a972,8,4,,,Fresh Green & Herbal,"Bright and herbaceous, with sharp top-notes of lemon rind and crushed pine needles. Hints of green tea and wild mint add freshness and a cooling lift. The overall scent is light yet vibrant- clean, green, and quietly energizing.","Lime, eucalyptus, pine, Floral, Lemon, Herbal, Grass, Fresh, tea",Hash,"Myrcene, Beta Caryophyllene, guaiol",,0.8815,1.4913
153bf867-9cf4-480a-a822-2ecc39e9c795,Ketama +,15/12/9999,"0.8726, 0.873",0.838 - 0.908,"1.4921, 1.4908",1.462 - 1.521,Palate +,#5f4608,#0d0c0c,8,4,,1,Spiced Woody Resinous,"Deep and earthy, opening with warm black pepper, bitter cocoa, and aged wood. Subtle notes of leather, resin, and incense smoke evolve as it warms. The aroma is dark, oxidized, and grounding, evoking old-world pressed hashish.","Gas, Earthy, Mud, Cocoa, peppery, Chem, GMO, Coffee",Hash,"Myrcene, Beta Caryophyllene, Alpha Terpineol",,0.8728,1.49145
9fd7442d-683d-48d3-886f-9841c5e5080b,La Musse +,15-13-9999,"0.8684, 0.8728",0.836 - 0.905,"1.4903, 1.4904",1.461 - 1.52,Palate +,#dbc884,#1b1919,8,4,,,Floral Dry Warm,"Soft and dry floral, with hay, almond skin, and chamomile at the surface. Deeper tones of cherrywood and saffron emerge on the exhale. The profile is powdery, warm, and refined, elegant without being sweet.","Gas, Honey, Almonds, Spices, Hay, Resin, Saffron",Hash,"Beta Caryophyllene, Myrcene, Limonene",,0.8706,1.49035
d86f7352-7eec-4395-832c-0883b5a0ea3c,Apples and Bananas +,15/04/9999,0.8638,0.829 - 0.898,1.4785,1.449 - 1.508,Palate +,,,7,4,4,,Fruity OG,"Opens with bright orchard fruit and subtle banana sweetness, then settles into a smooth, gassy OG kush core with creamy herbal and light citrus notes on the finish.",,Fruity,,,0.8638,1.4785
67c2fc93-e794-41e7-89d5-3f5d539ff9b8,5-HT3,11/12/9999,"0.9237, 0.869, 0.8931, 0.8938, 0.857, 0.8902, 0.8122, 0.8902, 0.893",0.845 - 0.915,"1.4856, 1.4877, 1.4873, 1.4879, 1.4887, 1.4885, 1.4879, 1.4888, 1.4886",1.458 - 1.518,Functional Line,#7f6000,#541313,7,1,1,,Lime Soda,"Coca cola and Rootbeer with lime body, strong vanilla notes, herbal and rosemary back notes","Cinnamon, Sour, Lemon, Herbal, Spicy, Zest, Brown, Cola, CoughSyrop, Rootbeer, Sleep, Focus",Spicy,"linalool, Geraniol, Nerolidol",0.9222,0.880244444,1.487888889
ebdde0f8-c10c-4b58-8492-35a36c5d767c,A2A,11-19-9999,"0.87, 0.8560, 0.8502, 0.8662, 0.8558",0.825 - 0.894,"1.4713, 1.4822, 1.4709, 1.4725, 1.4728",1.444 - 1.503,Functional Line,#b6f636,#f4a96f,4,1,1,,Fresh cut grass,Fresh grass body with back notes of sweet melon candy and pungent lemon.,"Apple, sweet, Grass, juicy, Fresh, Melon, liquer, Pungent, Sleep",Citrus,"Beta-pinene, Sabinene, Citronellol",0.8777,0.85964,1.47394
adac76bb-4357-40bb-9fc8-65081915a453,ANX Formulation,11/09/9999,"0.8898, 0.8816, 0.8816, 0.8816, 0.8864, 0.8884",0.850 - 0.920,"1.4875, 1.4862, 1.4862, 1.4862, 1.4877, 1.4881",1.457 - 1.517,Functional Line,#52bf72,#cec791,5,,1,,Fresh cut grass,"A crisp green-apple freshness blended with dewy grass and gummy-bear sweetness, softened by delicate floral tones and a smooth touch of vanilla.","Grass, tangy, greenapple",Herbal,"Beta Caryophyllene, Farnesol, Fenchol",,0.8849,1.486983333
